Field name,Description
tch_u_3,Teachers by school category- Urban: Primary with upper primary and secondary
tch_u_4,Teachers by school category- Urban: Upper Primary with secondary
tch_u_5,Teachers by school category- Urban: Secondary only
tch_u_6,Teachers by school category- Urban: Secondary with Hr. Secondary
tch_u_7,Teachers by school category- Urban: Hr. Secondary only
tch_u_all,Teachers by school category- Urban: All Schools
sing_cls_sch_1,Schools with Single Classroom: Primary with upper primary and secondary and higher secondary
sing_cls_sch_2,Schools with Single Classroom: Upper Primary with secondary and higher secondary
sing_cls_sch_3,Schools with Single Classroom: Primary with upper primary and secondary
sing_cls_sch_4,Schools with Single Classroom: Upper Primary with secondary
sing_cls_sch_5,Schools with Single Classroom: Secondary only
sing_cls_sch_6,Schools with Single Classroom: Secondary with Hr. Secondary
sing_cls_sch_7,Schools with Single Classroom: Hr. Secondary only
sing_cls_sch_all,Schools with Single Classroom: All Schools
sing_tch_sch_1,Schools with Single Teacher: Primary with upper primary and secondary and higher secondary
sing_tch_sch_2,Schools with Single Teacher: Upper Primary with secondary and higher secondary
sing_tch_sch_3,Schools with Single Teacher: Primary with upper primary and secondary
sing_tch_sch_4,Schools with Single Teacher: Upper Primary with secondary
sing_tch_sch_5,Schools with Single Teacher: Secondary only
sing_tch_sch_6,Schools with Single Teacher: Secondary with Hr. Secondary
sing_tch_sch_7,Schools with Single Teacher: Hr. Secondary only
sing_tch_sch_all,Schools with Single Teacher: All Schools
bldg_1,Schools with Building: Primary with upper primary and secondary and higher secondary
bldg_2,Schools with Building: Upper Primary with secondary and higher secondary
bldg_3,Schools with Building: Primary with upper primary and secondary
bldg_4,Schools with Building: Upper Primary with secondary
bldg_5,Schools with Building: Secondary only
bldg_6,Schools with Building: Secondary with Hr. Secondary
bldg_7,Schools with Building: Hr. Secondary only
bldg_all,Schools with Building: All Schools
girls_toilet_1,Schools with Girls Toilet: Primary with upper primary and secondary and higher secondary
girls_toilet_2,Schools with Girls Toilet: Upper Primary with secondary and higher secondary
girls_toilet_3,Schools with Girls Toilet: Primary with upper primary and secondary
girls_toilet_4,Schools with Girls Toilet: Upper Primary with secondary
girls_toilet_5,Schools with Girls Toilet: Secondary only
girls_toilet_6,Schools with Girls Toilet: Secondary with Hr. Secondary
girls_toilet_7,Schools with Girls Toilet: Hr. Secondary only
girls_toilet_all,Schools with Girls Toilet: All Schools
boys_toilet_1,Schools with Boys Toilet: Primary with upper primary and secondary and higher secondary
boys_toilet_2,Schools with Boys Toilet: Upper Primary with secondary and higher secondary
boys_toilet_3,Schools with Boys Toilet: Primary with upper primary and secondary
boys_toilet_4,Schools with Boys Toilet: Upper Primary with secondary
boys_toilet_5,Schools with Boys Toilet: Secondary only
boys_toilet_6,Schools with Boys Toilet: Secondary with Hr. Secondary
boys_toilet_7,Schools with Boys Toilet: Hr. Secondary only
boys_toilet_all,Schools with Boys Toilet: All Schools
gsch_1,Girls Schools: Primary with upper primary and secondary and higher secondary
gsch_2,Girls Schools: Upper Primary with secondary and higher secondary
gsch_3,Girls Schools: Primary with upper primary and secondary
gsch_4,Girls Schools: Upper Primary with secondary
gsch_5,Girls Schools: Secondary only
gsch_6,Girls Schools: Secondary with Hr. Secondary
gsch_7,Girls Schools: Hr. Secondary only
gsch_all,Girls Schools: All Schools
bsch_1,Boys Schools: Primary with upper primary and secondary and higher secondary
bsch_2,Boys Schools: Upper Primary with secondary and higher secondary
bsch_3,Boys Schools: Primary with upper primary and secondary
bsch_4,Boys Schools: Upper Primary with secondary
bsch_5,Boys Schools: Secondary only
bsch_6,Boys Schools: Secondary with Hr. Secondary
bsch_7,Boys Schools: Hr. Secondary only
bsch_all,Boys Schools: All Schools
co_sch1,Co-Educational Schools: Primary with upper primary and secondary and higher secondary
co_sch2,Co-Educational Schools: Upper Primary with secondary and higher secondary
co_sch3,Co-Educational Schools: Primary with upper primary and secondary
co_sch4,Co-Educational Schools: Upper Primary with secondary
co_sch5,Co-Educational Schools: Secondary only
co_sch6,Co-Educational Schools: Secondary with Hr. Secondary
co_sch7,Co-Educational Schools: Hr. Secondary only
co_sch_all,Co-Educational Schools: All Schools
cwsn_toilet_1,Schools with CWSN Toilet: Primary with upper primary and secondary and higher secondary
cwsn_toilet_2,Schools with CWSN Toilet: Upper Primary with secondary and higher secondary
cwsn_toilet_3,Schools with CWSN Toilet: Primary with upper primary and secondary
cwsn_toilet_4,Schools with CWSN Toilet: Upper Primary with secondary
cwsn_toilet_5,Schools with CWSN Toilet: Secondary only
cwsn_toilet_6,Schools with CWSN Toilet: Secondary with Hr. Secondary
cwsn_toilet_7,Schools with CWSN Toilet: Hr. Secondary only
cwsn_toilet_all,Schools with CWSN Toilet: All Schools
water_1,Schools with Water: Primary with upper primary and secondary and higher secondary
water_2,Schools with Water: Upper Primary with secondary and higher secondary
water_3,Schools with Water: Primary with upper primary and secondary
water_4,Schools with Water: Upper Primary with secondary
water_5,Schools with Water: Secondary only
water_6,Schools with Water: Secondary with Hr. Secondary
water_7,Schools with Water: Hr. Secondary only
water_all,Schools with Water: All Schools
electric_1,Schools with Electricity: Primary with upper primary and secondary and higher secondary
electric_2,Schools with Electricity: Upper Primary with secondary and higher secondary
electric_3,Schools with Electricity: Primary with upper primary and secondary
electric_4,Schools with Electricity: Upper Primary with secondary
electric_5,Schools with Electricity: Secondary only
electric_6,Schools with Electricity: Secondary with Hr. Secondary
electric_7,Schools with Electricity: Hr. Secondary only
electric_all,Schools with Electricity: All Schools
rampneed_1,Schools which required Ramps: Primary with upper primary and secondary and higher secondary
rampneed_2,Schools which required Ramps: Upper Primary with secondary and higher secondary
rampneed_3,Schools which required Ramps: Primary with upper primary and secondary
rampneed_4,Schools which required Ramps: Upper Primary with secondary
rampneed_5,Schools which required Ramps: Secondary only
rampneed_6,Schools which required Ramps: Secondary with Hr. Secondary
rampneed_7,Schools which required Ramps: Hr. Secondary only
rampneed_all,Schools which required Ramps: All Schools
ramps_1,Schools with Ramps: Primary with upper primary and secondary and higher secondary
ramps_2,Schools with Ramps: Upper Primary with secondary and higher secondary
ramps_3,Schools with Ramps: Primary with upper primary and secondary
ramps_4,Schools with Ramps: Upper Primary with secondary
ramps_5,Schools with Ramps: Secondary only
ramps_6,Schools with Ramps: Secondary with Hr. Secondary
ramps_7,Schools with Ramps: Hr. Secondary only
ramps_all,Schools with Ramps: All Schools
library_1,Schools with Library: Primary with upper primary and secondary and higher secondary
library_2,Schools with Library: Upper Primary with secondary and higher secondary
library_3,Schools with Library: Primary with upper primary and secondary
library_4,Schools with Library: Upper Primary with secondary
library_5,Schools with Library: Secondary only
library_6,Schools with Library: Secondary with Hr. Secondary
library_7,Schools with Library: Hr. Secondary only
library_all,Schools with Library: All Schools
librarian_1,Schools with Librarian: Primary with upper primary and secondary and higher secondary
librarian_2,Schools with Librarian: Upper Primary with secondary and higher secondary
librarian_3,Schools with Librarian: Primary with upper primary and secondary
librarian_4,Schools with Librarian: Upper Primary with secondary
librarian_5,Schools with Librarian: Secondary only
librarian_6,Schools with Librarian: Secondary with Hr. Secondary
librarian_7,Schools with Librarian: Hr. Secondary only
librarian_all,Schools with Librarian: All Schools
bndrywall_1,Schools with Boundary wall: Primary with upper primary and secondary and higher secondary
bndrywall_2,Schools with Boundary wall: Upper Primary with secondary and higher secondary
bndrywall_3,Schools with Boundary wall: Primary with upper primary and secondary
bndrywall_4,Schools with Boundary wall: Upper Primary with secondary
bndrywall_5,Schools with Boundary wall: Secondary only
bndrywall_6,Schools with Boundary wall: Secondary with Hr. Secondary
bndrywall_7,Schools with Boundary wall: Hr. Secondary only
bndrywall_all,Schools with Boundary wall: All Schools
cwsn_sch_1,Number of Special Schools for CWSN : Primary with upper primary and secondary and higher secondary
cwsn_sch_2,Number of Special Schools for CWSN : Upper Primary with secondary and higher secondary
cwsn_sch_3,Number of Special Schools for CWSN : Primary with upper primary and secondary
cwsn_sch_4,Number of Special Schools for CWSN : Upper Primary with secondary
cwsn_sch_5,Number of Special Schools for CWSN : Secondary only
cwsn_sch_6,Number of Special Schools for CWSN : Secondary with Hr. Secondary
cwsn_sch_7,Number of Special Schools for CWSN : Hr. Secondary only
cwsn_sch_all,Number of Special Schools for CWSN : All Schools
lab_asst_1,Schools with Lab Assistant: Primary with upper primary and secondary and higher secondary
lab_asst_2,Schools with Lab Assistant: Upper Primary with secondary and higher secondary
lab_asst_3,Schools with Lab Assistant: Primary with upper primary and secondary
lab_asst_4,Schools with Lab Assistant: Upper Primary with secondary
lab_asst_5,Schools with Lab Assistant: Secondary only
lab_asst_6,Schools with Lab Assistant: Secondary with Hr. Secondary
lab_asst_7,Schools with Lab Assistant: Hr. Secondary only
lab_asst_all,Schools with Lab Assistant: All Schools
hmroom_1,Schools with Separate room for Headmaster: Primary with upper primary and secondary and higher secondary
hmroom_2,Schools with Separate room for Headmaster: Upper Primary with secondary and higher secondary
hmroom_3,Schools with Separate room for Headmaster: Primary with upper primary and secondary
hmroom_4,Schools with Separate room for Headmaster: Upper Primary with secondary
hmroom_5,Schools with Separate room for Headmaster: Secondary only
hmroom_6,Schools with Separate room for Headmaster: Secondary with Hr. Secondary
hmroom_7,Schools with Separate room for Headmaster: Hr. Secondary only
hmroom_all,Schools with Separate room for Headmaster: All Schools
hostel_boys_1,Schools with Girls Hostel: Primary with upper primary and secondary and higher secondary
hostel_boys_2,Schools with Girls Hostel: Upper Primary with secondary and higher secondary
hostel_boys_3,Schools with Girls Hostel: Primary with upper primary and secondary
hostel_boys_4,Schools with Girls Hostel: Upper Primary with secondary
hostel_boys_5,Schools with Girls Hostel: Secondary only
hostel_boys_6,Schools with Girls Hostel: Secondary with Hr. Secondary
hostel_boys_7,Schools with Girls Hostel: Hr. Secondary only
hostel_boys_all,Schools with Girls Hostel: All Schools
hostel_girls_1,Schools with Boys Hostel: Primary with upper primary and secondary and higher secondary
hostel_girls_2,Schools with Boys Hostel: Upper Primary with secondary and higher secondary
hostel_girls_3,Schools with Boys Hostel: Primary with upper primary and secondary
hostel_girls_4,Schools with Boys Hostel: Upper Primary with secondary
hostel_girls_5,Schools with Boys Hostel: Secondary only
hostel_girls_6,Schools with Boys Hostel: Secondary with Hr. Secondary
hostel_girls_7,Schools with Boys Hostel: Hr. Secondary only
hostel_girls_all,Schools with Boys Hostel: All Schools
internet_1,Schools with Internet: Primary with upper primary and secondary and higher secondary
internet_2,Schools with Internet: Upper Primary with secondary and higher secondary
internet_3,Schools with Internet: Primary with upper primary and secondary
internet_4,Schools with Internet: Upper Primary with secondary
internet_5,Schools with Internet: Secondary only
internet_6,Schools with Internet: Secondary with Hr. Secondary
internet_7,Schools with Internet: Hr. Secondary only
internet_all,Schools with Internet: All Schools
ict_lab_1,Schools with ICT Lab: Primary with upper primary and secondary and higher secondary
ict_lab_2,Schools with ICT Lab: Upper Primary with secondary and higher secondary
ict_lab_3,Schools with ICT Lab: Primary with upper primary and secondary
ict_lab_4,Schools with ICT Lab: Upper Primary with secondary
ict_lab_5,Schools with ICT Lab: Secondary only
ict_lab_6,Schools with ICT Lab: Secondary with Hr. Secondary
ict_lab_7,Schools with ICT Lab: Hr. Secondary only
ict_lab_all,Schools with ICT Lab: All Schools
pground_1,Schools with Playground: Primary with upper primary and secondary and higher secondary
pground_2,Schools with Playground: Upper Primary with secondary and higher secondary
pground_3,Schools with Playground: Primary with upper primary and secondary
pground_4,Schools with Playground: Upper Primary with secondary
pground_5,Schools with Playground: Secondary only
pground_6,Schools with Playground: Secondary with Hr. Secondary
pground_7,Schools with Playground: Hr. Secondary only
pground_all,Schools with Playground: All Schools
medchk_1,Schools conducted Medical Checkup in Previous Year: Primary with upper primary and secondary and higher secondary
medchk_2,Schools conducted Medical Checkup in Previous Year: Upper Primary with secondary and higher secondary
medchk_3,Schools conducted Medical Checkup in Previous Year: Primary with upper primary and secondary
medchk_4,Schools conducted Medical Checkup in Previous Year: Upper Primary with secondary
medchk_5,Schools conducted Medical Checkup in Previous Year: Secondary only
medchk_6,Schools conducted Medical Checkup in Previous Year: Secondary with Hr. Secondary
medchk_7,Schools conducted Medical Checkup in Previous Year: Hr. Secondary only
medchk_all,Schools conducted Medical Checkup in Previous Year: All Schools
smdc_1,Schools with SMDC: Primary with upper primary and secondary and higher secondary
smdc_2,Schools with SMDC: Upper Primary with secondary and higher secondary
smdc_3,Schools with SMDC: Primary with upper primary and secondary
smdc_4,Schools with SMDC: Upper Primary with secondary
smdc_5,Schools with SMDC: Secondary only
smdc_6,Schools with SMDC: Secondary with Hr. Secondary
smdc_7,Schools with SMDC: Hr. Secondary only
smdc_all,Schools with SMDC: All Schools
sch_bld_com_1,Schools with School Building Committee: Primary with upper primary and secondary and higher secondary
sch_bld_com_2,Schools with School Building Committee: Upper Primary with secondary and higher secondary
sch_bld_com_3,Schools with School Building Committee: Primary with upper primary and secondary
sch_bld_com_4,Schools with School Building Committee: Upper Primary with secondary
sch_bld_com_5,Schools with School Building Committee: Secondary only
sch_bld_com_6,Schools with School Building Committee: Secondary with Hr. Secondary
sch_bld_com_7,Schools with School Building Committee: Hr. Secondary only
sch_bld_com_all,Schools with School Building Committee: All Schools
pta_1,Schools with PTA: Primary with upper primary and secondary and higher secondary
pta_2,Schools with PTA: Upper Primary with secondary and higher secondary
pta_3,Schools with PTA: Primary with upper primary and secondary
pta_4,Schools with PTA: Upper Primary with secondary
pta_5,Schools with PTA: Secondary only
pta_6,Schools with PTA: Secondary with Hr. Secondary
pta_7,Schools with PTA: Hr. Secondary only
pta_all,Schools with PTA: All Schools
sch_2006_1,Schools established since 2006: Primary with upper primary and secondary and higher secondary
sch_2006_2,Schools established since 2006: Upper Primary with secondary and higher secondary
sch_2006_3,Schools established since 2006: Primary with upper primary and secondary
sch_2006_4,Schools established since 2006: Upper Primary with secondary
sch_2006_5,Schools established since 2006: Secondary only
sch_2006_6,Schools established since 2006: Secondary with Hr. Secondary
sch_2006_7,Schools established since 2006: Hr. Secondary only
sch_2006_all,Schools established since 2006: All Schools
cls_1,Classrooms in Schools: Primary with upper primary and secondary and higher secondary
cls_2,Classrooms in Schools: Upper Primary with secondary and higher secondary
cls_3,Classrooms in Schools: Primary with upper primary and secondary
cls_4,Classrooms in Schools: Upper Primary with secondary
cls_5,Classrooms in Schools: Secondary only
cls_6,Classrooms in Schools: Secondary with Hr. Secondary
cls_7,Classrooms in Schools: Hr. Secondary only
cls_all,Classrooms in Schools: All Schools
tchf_1,Total number of Female Teachers: Primary with upper primary and secondary and higher secondary
tchf_2,Total number of Female Teachers: Upper Primary with secondary and higher secondary
tchf_3,Total number of Female Teachers: Primary with upper primary and secondary
tchf_4,Total number of Female Teachers: Upper Primary with secondary
tchf_5,Total number of Female Teachers: Secondary only
tchf_6,Total number of Female Teachers: Secondary with Hr. Secondary
tchf_7,Total number of Female Teachers: Hr. Secondary only
tchf_all,Total number of Female Teachers: All Schools
enrg_1,Girls Enrolment: Primary with upper primary and secondary and higher secondary
enrg_2,Girls Enrolment: Upper Primary with secondary and higher secondary
enrg_3,Girls Enrolment: Primary with upper primary and secondary
enrg_4,Girls Enrolment: Upper Primary with secondary
enrg_5,Girls Enrolment: Secondary only
enrg_6,Girls Enrolment: Secondary with Hr. Secondary
enrg_7,Girls Enrolment: Hr. Secondary only
enrg_all,Girls Enrolment: All Schools
enrc8_b,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 8 - Boys
enrc8_g,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 8 - Girls
enrc9_b,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 9 - Boys
enrc9_g,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 9 - Girls
enrc10_b,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 10 - Boys
enrc10_g,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 10 - Girls
enrc11_b,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 11 - Boys
enrc11_g,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 11 - Girls
enrc12_b,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 12 - Boys
enrc12_g,Enrolment in Current year by Class: Enrolment in Current year by Class-Class 12 - Girls
repc8_b,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 8 - Boys
repc8_g,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 8 - Girls
repc9_b,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 9 - Boys
repc9_g,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 9 - Girls
repc10_b,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 10 - Boys
repc10_g,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 10 - Girls
repc11_b,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 11 - Boys
repc11_g,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 11 - Girls
repc12_b,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 12 - Boys
repc12_g,Repeaters in Current year by Class: Repeaters in Current year by Class-Class 12 - Girls
cwsnc8_b,CWSN in Current year by Class: CWSN in Current year by Class-Class 8 - Boys
cwsnc8_g,CWSN in Current year by Class: CWSN in Current year by Class-Class 8 - Girls
cwsnc9_b,CWSN in Current year by Class: CWSN in Current year by Class-Class 9 - Boys
cwsnc9_g,CWSN in Current year by Class: CWSN in Current year by Class-Class 9 - Girls
cwsnc10_b,CWSN in Current year by Class: CWSN in Current year by Class-Class 10 - Boys
cwsnc10_g,CWSN in Current year by Class: CWSN in Current year by Class-Class 10 - Girls
cwsnc11_b,CWSN in Current year by Class: CWSN in Current year by Class-Class 11 - Boys
cwsnc11_g,CWSN in Current year by Class: CWSN in Current year by Class-Class 11 - Girls
cwsnc12_b,CWSN in Current year by Class: CWSN in Current year by Class-Class 12 - Boys
cwsnc12_g,CWSN in Current year by Class: CWSN in Current year by Class-Class 12 - Girls
schlabphy,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Physics
schlabchem,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Chemistry
schlabbio,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Biology
schlabcomputer,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Computer
schlabmath,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Maths
schlablang,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Language
schlabgeo,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Geography
schlabpsyc,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - Psychology
schlabhsci,Hr Secondary Schools with Laboratory: Hr Secondary Schools with Laboratory-Hr Secondary Schools with Laboratory - H. Science
scsec,SC enrolment: Secondary-Secondary - Total
scsec_g,SC enrolment: Secondary-Secondary - Girls
schsec,SC enrolment: Hr Secondary-Hr Secondary - Total
schsec_g,SC enrolment: Hr Secondary-Hr Secondary - Girls
stsec,ST enrolment: Secondary-Secondary - Total
stsec_g,ST enrolment: Secondary-Secondary - Girls
sthsec,ST enrolment: Hr Secondary-Hr Secondary - Total
sthsec_g,ST enrolment: Hr Secondary-Hr Secondary - Girls
obcsec,OBC enrolment: Secondary-Secondary - Total
obcsec_g,OBC enrolment: Secondary-Secondary - Girls
obchsec,OBC enrolment: Hr Secondary-Hr Secondary - Total
obchsec_g,OBC enrolment: Hr Secondary-Hr Secondary - Girls
muslim_sec,Muslim enrolment: Secondary-Secondary - Total
muslim_sec_g,Muslim enrolment: Secondary-Secondary - Girls
muslim_hsec,Muslim enrolment: Hr Secondary-Hr Secondary - Total
muslim_hsec_g,Muslim enrolment: Hr Secondary-Hr Secondary - Girls
clgood_sec,Classroom by Condition: Secondary-Secondary - Good Condition 
clmajor_sec,Classroom by Condition: Secondary-Secondary - Need Major Repair 
clminor_sec,Classroom by Condition: Secondary-Secondary - Need Minor Repair 
clgood_hsec,Classroom by Condition: Hr Secondary-Hr Secondary - Good Condition 
clmajor_hsec,Classroom by Condition: Hr Secondary-Hr Secondary - Need Major Repair 
clminor_hsec,Classroom by Condition: Hr Secondary-Hr Secondary - Need Minor Repair 
boys_b13_c8,Enrolment by Age and Class Secondary: Below 13 Yrs-Class 8 - Boys
girls_b13_c8,Enrolment by Age and Class Secondary: Below 13 Yrs-Class 8 - Girls
boys_b13_c9,Enrolment by Age and Class Secondary: Below 13 Yrs-Class 9 - Boys
girls_b13_c9,Enrolment by Age and Class Secondary: Below 13 Yrs-Class 9 - Girls
boys_b13_c10,Enrolment by Age and Class Secondary: Below 13 Yrs-Class 10 - Boys
girls_b13_c10,Enrolment by Age and Class Secondary: Below 13 Yrs-Class 10 - Girls
boys_13_c8,Enrolment by Age and Class Secondary:  13 Yrs-Class 8 - Boys
girls_13_c8,Enrolment by Age and Class Secondary:  13 Yrs-Class 8 - Girls
boys_13_c9,Enrolment by Age and Class Secondary:  13 Yrs-Class 9 - Boys
girls_13_c9,Enrolment by Age and Class Secondary:  13 Yrs-Class 9 - Girls
boys_13_c10,Enrolment by Age and Class Secondary:  13 Yrs-Class 10 - Boys
girls_13_c10,Enrolment by Age and Class Secondary:  13 Yrs-Class 10 - Girls
boys_14_c8,Enrolment by Age and Class Secondary:  14 Yrs-Class 8 - Boys
girls_14_c8,Enrolment by Age and Class Secondary:  14 Yrs-Class 8 - Girls
boys_14_c9,Enrolment by Age and Class Secondary:  14 Yrs-Class 9 - Boys
girls_14_c9,Enrolment by Age and Class Secondary:  14 Yrs-Class 9 - Girls
boys_14_c10,Enrolment by Age and Class Secondary:  14 Yrs-Class 10 - Boys
girls_14_c10,Enrolment by Age and Class Secondary:  14 Yrs-Class 10 - Girls
boys_15_c8,Enrolment by Age and Class Secondary:  15 Yrs-Class 8 - Boys
girls_15_c8,Enrolment by Age and Class Secondary:  15 Yrs-Class 8 - Girls
boys_15_c9,Enrolment by Age and Class Secondary:  15 Yrs-Class 9 - Boys
girls_15_c9,Enrolment by Age and Class Secondary:  15 Yrs-Class 9 - Girls
boys_15_c10,Enrolment by Age and Class Secondary:  15 Yrs-Class 10 - Boys
girls_15_c10,Enrolment by Age and Class Secondary:  15 Yrs-Class 10 - Girls
boys_a15_c8,Enrolment by Age and Class Secondary: Above 15  Yrs-Class 8 - Boys
girls_a15_c8,Enrolment by Age and Class Secondary: Above 15  Yrs-Class 8 - Girls
boys_a15_c9,Enrolment by Age and Class Secondary: Above 15  Yrs-Class 9 - Boys
girls_a15_c9,Enrolment by Age and Class Secondary: Above 15  Yrs-Class 9 - Girls
boys_a15_c10,Enrolment by Age and Class Secondary: Above 15  Yrs-Class 10 - Boys
girls_a15_c10,Enrolment by Age and Class Secondary: Above 15  Yrs-Class 10 - Girls
boys_b15_c11,Enrolment by Age and Class Higher Secondary: Below 15 Yrs-Class 11 - Boys
girls_b15_c11,Enrolment by Age and Class Higher Secondary: Below 15 Yrs-Class 11 - Girls
boys_b15_c12,Enrolment by Age and Class Higher Secondary: Below 15 Yrs-Class 12 - Boys
girls_b15_c12,Enrolment by Age and Class Higher Secondary: Below 15 Yrs-Class 12 - Girls
boys_15_c11,Enrolment by Age and Class Higher Secondary:  15 Yrs-Class 11 - Boys
girls_15_c11,Enrolment by Age and Class Higher Secondary:  15 Yrs-Class 11 - Girls
boys_15_c12,Enrolment by Age and Class Higher Secondary:  15 Yrs-Class 12 - Boys
girls_15_c12,Enrolment by Age and Class Higher Secondary:  15 Yrs-Class 12 - Girls
