Field name,Description
SCHGIRTOT,Schools by Category: Girls Only: Total
ENR1,Elementary Enrolment by School Category: Primary Only
ENR2,Elementary Enrolment by School Category: Primary with Upper Primary
ENR3,Elementary Enrolment by School Category: Primary with upper Primary Sec/H.Sec
ENR4,Elementary Enrolment by School Category: Upper Primary Only
ENR5,Elementary Enrolment by School Category: Upper Primary with Sec./H.Sec
ENR6,Elementary Enrolment by School Category: Primary with upper Primary Sec
ENR7,Elementary Enrolment by School Category: Upper Primary with  Sec.
ENR9,Elementary Enrolment by School Category: No Response
ENRTOT,Elementary Enrolment by School Category: Total
ENR1G,Elementary Enrolment by School Category (Government): Primary Only
ENR2G,Elementary Enrolment by School Category (Government): Primary with Upper Primary
ENR3G,Elementary Enrolment by School Category (Government): Primary with upper Primary Sec/H.Sec
ENR4G,Elementary Enrolment by School Category (Government): Upper Primary Only
ENR5G,Elementary Enrolment by School Category (Government): Upper Primary with Sec./H.Sec
ENR6G,Elementary Enrolment by School Category (Government): Primary with upper Primary Sec
ENR7G,Elementary Enrolment by School Category (Government): Upper Primary with  Sec.
ENR9G,Elementary Enrolment by School Category (Government): No Response
ENRTOTG,Elementary Enrolment by School Category (Government): Total
ENR1P,Elementary Enrolment by School Category (Private): Primary Only
ENR2P,Elementary Enrolment by School Category (Private): Primary with Upper Primary
ENR3P,Elementary Enrolment by School Category (Private): Primary with upper Primary Sec/H.Sec
ENR4P,Elementary Enrolment by School Category (Private): Upper Primary Only
ENR5P,Elementary Enrolment by School Category (Private): Upper Primary with Sec./H.Sec
ENR6P,Elementary Enrolment by School Category (Private): Primary with upper Primary Sec
ENR7P,Elementary Enrolment by School Category (Private): Upper Primary with  Sec.
ENR9P,Elementary Enrolment by School Category (Private): No Response
ENRTOTP,Elementary Enrolment by School Category (Private): Total
ENR1M,Elementary Enrolment by School Category (Madarsas and UnRecognized): Primary Only
ENR2M,Elementary Enrolment by School Category (Madarsas and UnRecognized): Primary with Upper Primary
ENR3M,Elementary Enrolment by School Category (Madarsas and UnRecognized): Primary with upper Primary Sec/H.Sec
ENR4M,Elementary Enrolment by School Category (Madarsas and UnRecognized): Upper Primary Only
ENR5M,Elementary Enrolment by School Category (Madarsas and UnRecognized): Upper Primary with Sec./H.Sec
ENR6M,Elementary Enrolment by School Category (Madarsas and UnRecognized): Primary with upper Primary Sec
ENR7M,Elementary Enrolment by School Category (Madarsas and UnRecognized): Upper Primary with  Sec.
ENR9M,Elementary Enrolment by School Category (Madarsas and UnRecognized): No Response
ENRTOTM,Elementary Enrolment by School Category (Madarsas and UnRecognized): Total
ENR1GR,Elementary Enrolment by School Category (Government) - Rural: Primary Only
ENR2GR,Elementary Enrolment by School Category (Government) - Rural: Primary with Upper Primary
ENR3GR,Elementary Enrolment by School Category (Government) - Rural: Primary with upper Primary Sec/H.Sec
ENR4GR,Elementary Enrolment by School Category (Government) - Rural: Upper Primary Only
ENR5GR,Elementary Enrolment by School Category (Government) - Rural: Upper Primary with Sec./H.Sec
ENR6GR,Elementary Enrolment by School Category (Government) - Rural: Primary with upper Primary Sec
ENR7GR,Elementary Enrolment by School Category (Government) - Rural: Upper Primary with  Sec.
ENR9GR,Elementary Enrolment by School Category (Government) - Rural: No Response
ENRTOTGR,Elementary Enrolment by School Category (Government) - Rural: Total
ENR1PR,Elementary Enrolment by School Category (Private) - Rural: Primary Only
ENR2PR,Elementary Enrolment by School Category (Private) - Rural: Primary with Upper Primary
ENR3PR,Elementary Enrolment by School Category (Private) - Rural: Primary with upper Primary Sec/H.Sec
ENR4PR,Elementary Enrolment by School Category (Private) - Rural: Upper Primary Only
ENR5PR,Elementary Enrolment by School Category (Private) - Rural: Upper Primary with Sec./H.Sec
ENR6PR,Elementary Enrolment by School Category (Private) - Rural: Primary with upper Primary Sec
ENR7PR,Elementary Enrolment by School Category (Private) - Rural: Upper Primary with  Sec.
ENR9PR,Elementary Enrolment by School Category (Private) - Rural: No Response
ENRTOTPR,Elementary Enrolment by School Category (Private) - Rural: Total
TCH1G,Teachers by School Category (Government): Primary Only
TCH2G,Teachers by School Category (Government): Primary with Upper Primary
TCH3G,Teachers by School Category (Government): Primary with upper Primary Sec/H.Sec
TCH4G,Teachers by School Category (Government): Upper Primary Only
TCH5G,Teachers by School Category (Government): Upper Primary with Sec./H.Sec
TCH6G,Teachers by School Category (Government): Primary with upper Primary Sec
TCH7G,Teachers by School Category (Government): Upper Primary with  Sec.
TCH9G,Teachers by School Category (Government): No Response
TCHTOTG,Teachers by School Category (Government): Total
TCH1P,Teachers by School Category ( Private): Primary Only
TCH2P,Teachers by School Category ( Private): Primary with Upper Primary
TCH3P,Teachers by School Category ( Private): Primary with upper Primary Sec/H.Sec
TCH4P,Teachers by School Category ( Private): Upper Primary Only
TCH5P,Teachers by School Category ( Private): Upper Primary with Sec./H.Sec
TCH6P,Teachers by School Category ( Private): Primary with upper Primary Sec
TCH7P,Teachers by School Category ( Private): Upper Primary with  Sec.
TCH9P,Teachers by School Category ( Private): No Response
TCHTOTP,Teachers by School Category ( Private): Total
TCH1M,Teachers by School Category (Madarsas and UnRcognized): Primary Only
TCH2M,Teachers by School Category (Madarsas and UnRcognized): Primary with Upper Primary
TCH3M,Teachers by School Category (Madarsas and UnRcognized): Primary with upper Primary Sec/H.Sec
TCH4M,Teachers by School Category (Madarsas and UnRcognized): Upper Primary Only
TCH5M,Teachers by School Category (Madarsas and UnRcognized): Upper Primary with Sec./H.Sec
TCH6M,Teachers by School Category (Madarsas and UnRcognized): Primary with upper Primary Sec
TCH7M,Teachers by School Category (Madarsas and UnRcognized): Upper Primary with  Sec.
TCH9M,Teachers by School Category (Madarsas and UnRcognized): No Response
TCHTOTM,Teachers by School Category (Madarsas and UnRcognized): Total
SCLS1,Single-Classroom Schools: Primary Only
SCLS2,Single-Classroom Schools: Primary with Upper Primary
SCLS3,Single-Classroom Schools: Primary with upper Primary Sec/H.Sec
SCLS4,Single-Classroom Schools: Upper Primary Only
SCLS5,Single-Classroom Schools: Upper Primary with Sec./H.Sec
SCLS6,Single-Classroom Schools: Primary with upper Primary Sec
SCLS7,Single-Classroom Schools: Upper Primary with  Sec.
SCLSTOT,Single-Classroom Schools: Total
STCH1,Single-Teacher Schools: Primary Only
STCH2,Single-Teacher Schools: Primary with Upper Primary
STCH3,Single-Teacher Schools: Primary with upper Primary Sec/H.Sec
STCH4,Single-Teacher Schools: Upper Primary Only
STCH5,Single-Teacher Schools: Upper Primary with Sec./H.Sec
STCH6,Single-Teacher Schools: Primary with upper Primary Sec
STCH7,Single-Teacher Schools: Upper Primary with  Sec.
STCHTOT,Single-Teacher Schools: Total
ROAD1,Schools Approachable by All Weather Road: Primary Only
ROAD2,Schools Approachable by All Weather Road: Primary with Upper Primary
ROAD3,Schools Approachable by All Weather Road: Primary with upper Primary Sec/H.Sec
ROAD4,Schools Approachable by All Weather Road: Upper Primary Only
ROAD5,Schools Approachable by All Weather Road: Upper Primary with Sec./H.Sec
ROAD6,Schools Approachable by All Weather Road: Primary with upper Primary Sec
ROAD7,Schools Approachable by All Weather Road: Upper Primary with  Sec.
ROADTOT,Schools Approachable by All Weather Road: Total
SPLAY1,Schools with Playground Facility: Primary Only
SPLAY2,Schools with Playground Facility: Primary with Upper Primary
SPLAY3,Schools with Playground Facility: Primary with upper Primary Sec/H.Sec
SPLAY4,Schools with Playground Facility: Upper Primary Only
SPLAY5,Schools with Playground Facility: Upper Primary with Sec./H.Sec
SPLAY6,Schools with Playground Facility: Primary with upper Primary Sec
SPLAY7,Schools with Playground Facility: Upper Primary with  Sec.
SPLAYTOT,Schools with Playground Facility: Total
SBNDR1,Schools with Boundarywall: Primary Only
SBNDR2,Schools with Boundarywall: Primary with Upper Primary
SBNDR3,Schools with Boundarywall: Primary with upper Primary Sec/H.Sec
SBNDR4,Schools with Boundarywall: Upper Primary Only
SBNDR5,Schools with Boundarywall: Upper Primary with Sec./H.Sec
SBNDR6,Schools with Boundarywall: Primary with upper Primary Sec
SBNDR7,Schools with Boundarywall: Upper Primary with  Sec.
SBNDRTOT,Schools with Boundarywall: Total
SGTOIL1,Schools with Girls' Toilet: Primary Only
SGTOIL2,Schools with Girls' Toilet: Primary with Upper Primary
SGTOIL3,Schools with Girls' Toilet: Primary with upper Primary Sec/H.Sec
SGTOIL4,Schools with Girls' Toilet: Upper Primary Only
SGTOIL5,Schools with Girls' Toilet: Upper Primary with Sec./H.Sec
SGTOIL6,Schools with Girls' Toilet: Primary with upper Primary Sec
SGTOIL7,Schools with Girls' Toilet: Upper Primary with  Sec.
SGTOILTOT,Schools with Girls' Toilet: Total
SBTOIL1,Schools with Boys' Toilet: Primary Only
SBTOIL2,Schools with Boys' Toilet: Primary with Upper Primary
SBTOIL3,Schools with Boys' Toilet: Primary with upper Primary Sec/H.Sec
SBTOIL4,Schools with Boys' Toilet: Upper Primary Only
SBTOIL5,Schools with Boys' Toilet: Upper Primary with Sec./H.Sec
SBTOIL6,Schools with Boys' Toilet: Primary with upper Primary Sec
SBTOIL7,Schools with Boys' Toilet: Upper Primary with  Sec.
SBTOILTOT,Schools with Boys' Toilet: Total
SWAT1,Schools with Drinking Water: Primary Only
SWAT2,Schools with Drinking Water: Primary with Upper Primary
SWAT3,Schools with Drinking Water: Primary with upper Primary Sec/H.Sec
SWAT4,Schools with Drinking Water: Upper Primary Only
SWAT5,Schools with Drinking Water: Upper Primary with Sec./H.Sec
SWAT6,Schools with Drinking Water: Primary with upper Primary Sec
SWAT7,Schools with Drinking Water: Upper Primary with  Sec.
SWATTOT,Schools with Drinking Water: Total
SELE1,Schools with Electricity: Primary Only
SELE2,Schools with Electricity: Primary with Upper Primary
SELE3,Schools with Electricity: Primary with upper Primary Sec/H.Sec
SELE4,Schools with Electricity: Upper Primary Only
SELE5,Schools with Electricity: Upper Primary with Sec./H.Sec
SELE6,Schools with Electricity: Primary with upper Primary Sec
SELE7,Schools with Electricity: Upper Primary with  Sec.
SELETOT,Schools with Electricity: Total
SCOMP1,Schools with Computer: Primary Only
SCOMP2,Schools with Computer: Primary with Upper Primary
SCOMP3,Schools with Computer: Primary with upper Primary Sec/H.Sec
SCOMP4,Schools with Computer: Upper Primary Only
SCOMP5,Schools with Computer: Upper Primary with Sec./H.Sec
SCOMP6,Schools with Computer: Primary with upper Primary Sec
SCOMP7,Schools with Computer: Upper Primary with  Sec.
SCOMPTOT,Schools with Computer: Total
SRAM1,Schools with Ramp (where needed): Primary Only
SRAM2,Schools with Ramp (where needed): Primary with Upper Primary
SRAM3,Schools with Ramp (where needed): Primary with upper Primary Sec/H.Sec
SRAM4,Schools with Ramp (where needed): Upper Primary Only
SRAM5,Schools with Ramp (where needed): Upper Primary with Sec./H.Sec
SRAM6,Schools with Ramp (where needed): Primary with upper Primary Sec
SRAM7,Schools with Ramp (where needed): Upper Primary with  Sec.
SRAMTOT,Schools with Ramp (where needed): Total
SRAMN1,Schools where Ramp is Required: Primary Only
SRAMN2,Schools where Ramp is Required: Primary with Upper Primary
SRAMN3,Schools where Ramp is Required: Primary with upper Primary Sec/H.Sec
SRAMN4,Schools where Ramp is Required: Upper Primary Only
SRAMN5,Schools where Ramp is Required: Upper Primary with Sec./H.Sec
SRAMN6,Schools where Ramp is Required: Primary with upper Primary Sec
SRAMN7,Schools where Ramp is Required: Upper Primary with  Sec.
SRAMNTOT,Schools where Ramp is Required: Total
ESTD1,Schools Established Since 2001: Primary Only
ESTD2,Schools Established Since 2001: Primary with Upper Primary
ESTD3,Schools Established Since 2001: Primary with upper Primary Sec/H.Sec
ESTD4,Schools Established Since 2001: Upper Primary Only
ESTD5,Schools Established Since 2001: Upper Primary with Sec./H.Sec
ESTD6,Schools Established Since 2001: Primary with upper Primary Sec
ESTD7,Schools Established Since 2001: Upper Primary with  Sec.
ESTDTOT,Schools Established Since 2001: Total
MDM1,Schools Providing Mid-Day Meal (Government & Aided Schools): Primary Only
MDM2,Schools Providing Mid-Day Meal (Government & Aided Schools): Primary with Upper Primary
MDM3,Schools Providing Mid-Day Meal (Government & Aided Schools): Primary with upper Primary Sec/H.Sec
MDM4,Schools Providing Mid-Day Meal (Government & Aided Schools): Upper Primary Only
MDM5,Schools Providing Mid-Day Meal (Government & Aided Schools): Upper Primary with Sec./H.Sec
MDM6,Schools Providing Mid-Day Meal (Government & Aided Schools): Primary with upper Primary Sec
MDM7,Schools Providing Mid-Day Meal (Government & Aided Schools): Upper Primary with  Sec.
MDMTOT,Schools Providing Mid-Day Meal (Government & Aided Schools): Total
KIT1,Schools with Kitchen-Shed (Government & Aided Schools)*: Primary Only
KIT2,Schools with Kitchen-Shed (Government & Aided Schools)*: Primary with Upper Primary
KIT3,Schools with Kitchen-Shed (Government & Aided Schools)*: Primary with upper Primary Sec/H.Sec
KIT4,Schools with Kitchen-Shed (Government & Aided Schools)*: Upper Primary Only
KIT5,Schools with Kitchen-Shed (Government & Aided Schools)*: Upper Primary with Sec./H.Sec
KIT6,Schools with Kitchen-Shed (Government & Aided Schools)*: Primary with upper Primary Sec
KIT7,Schools with Kitchen-Shed (Government & Aided Schools)*: Upper Primary with  Sec.
KITTOT,Schools with Kitchen-Shed (Government & Aided Schools)*: Total
KITS1,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Primary Only
KITS2,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Primary with Upper Primary
KITS3,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Primary with upper Primary Sec/H.Sec
KITS4,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Upper Primary Only
KITS5,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Upper Primary with Sec./H.Sec
KITS6,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Primary with upper Primary Sec
KITS7,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Upper Primary with  Sec.
KITSTOT,Schools where Mid-Day Meal is Provided and Prepared in School Premises (Government & Aided Schools): Total
ENR501,Schools with Enrolment <= 50: Primary Only
ENR502,Schools with Enrolment <= 50: Primary with Upper Primary
ENR503,Schools with Enrolment <= 50: Primary with upper Primary Sec/H.Sec
ENR504,Schools with Enrolment <= 50: Upper Primary Only
ENR505,Schools with Enrolment <= 50: Upper Primary with Sec./H.Sec
ENR506,Schools with Enrolment <= 50: Primary with upper Primary Sec
ENR507,Schools with Enrolment <= 50: Upper Primary with  Sec.
ENR50TOT,Schools with Enrolment <= 50: Total
SMC1,Schools Constituted School Management Committee(Government & Aided Schools): Primary Only
SMC2,Schools Constituted School Management Committee(Government & Aided Schools): Primary with Upper Primary
SMC3,Schools Constituted School Management Committee(Government & Aided Schools): Primary with upper Primary Sec/H.Sec
SMC4,Schools Constituted School Management Committee(Government & Aided Schools): Upper Primary Only
SMC5,Schools Constituted School Management Committee(Government & Aided Schools): Upper Primary with Sec./H.Sec
SMC6,Schools Constituted School Management Committee(Government & Aided Schools): Primary with upper Primary Sec
SMC7,Schools Constituted School Management Committee(Government & Aided Schools): Upper Primary with  Sec.
SMCTOT,Schools Constituted School Management Committee(Government & Aided Schools): Total
CLS1,Number of Classrooms by School Category: Primary Only
CLS2,Number of Classrooms by School Category: Primary with Upper Primary
CLS3,Number of Classrooms by School Category: Primary with upper Primary Sec/H.Sec
CLS4,Number of Classrooms by School Category: Upper Primary Only
CLS5,Number of Classrooms by School Category: Upper Primary with Sec./H.Sec
CLS6,Number of Classrooms by School Category: Primary with upper Primary Sec
CLS7,Number of Classrooms by School Category: Upper Primary with  Sec.
CLSTOT,Number of Classrooms by School Category: Total
TCH1,Teachers by School Category: Primary Only
TCH2,Teachers by School Category: Primary with Upper Primary
TCH3,Teachers by School Category: Primary with upper Primary Sec/H.Sec
TCH4,Teachers by School Category: Upper Primary Only
TCH5,Teachers by School Category: Upper Primary with Sec./H.Sec
TCH6,Teachers by School Category: Primary with upper Primary Sec
TCH7,Teachers by School Category: Upper Primary with  Sec.
TCHTOT,Teachers by School Category: Total
TCHF1,Teachers by School Category - Female: Primary Only
TCHF2,Teachers by School Category - Female: Primary with Upper Primary
TCHF3,Teachers by School Category - Female: Primary with upper Primary Sec/H.Sec
TCHF4,Teachers by School Category - Female: Upper Primary Only
TCHF5,Teachers by School Category - Female: Upper Primary with Sec./H.Sec
TCHF6,Teachers by School Category - Female: Primary with upper Primary Sec
TCHF7,Teachers by School Category - Female: Upper Primary with  Sec.
TCHF9,Teachers by School Category - Female: No Response
TCHFTOT,Teachers by School Category - Female: Total
TCHM1,Teachers by School Category - Male: Primary Only
TCHM2,Teachers by School Category - Male: Primary with Upper Primary
TCHM3,Teachers by School Category - Male: Primary with upper Primary Sec/H.Sec
TCHM4,Teachers by School Category - Male: Upper Primary Only
TCHM5,Teachers by School Category - Male: Upper Primary with Sec./H.Sec
TCHM6,Teachers by School Category - Male: Primary with upper Primary Sec
TCHM7,Teachers by School Category - Male: Upper Primary with  Sec.
ENRG1,Enrolment by School Category- Girls : Primary Only
ENRG2,Enrolment by School Category- Girls : Primary with Upper Primary
ENRG3,Enrolment by School Category- Girls : Primary with upper Primary Sec/H.Sec
ENRG4,Enrolment by School Category- Girls : Upper Primary Only
ENRG5,Enrolment by School Category- Girls : Upper Primary with Sec./H.Sec
ENRG6,Enrolment by School Category- Girls : Primary with upper Primary Sec
ENRG7,Enrolment by School Category- Girls : Upper Primary with  Sec.
ENRGTOT,Enrolment by School Category- Girls : Total
PREP,Schools with attached Pre-primary Section (Other than Anganwadi): Total Schools
PRESTD,Schools with attached Pre-primary Section (Other than Anganwadi): Total Students
PPFTCH,Professionally Qualified Teachers: Private: Teachers with Professional Qualification : Female 
PPMTCH,Professionally Qualified Teachers: Private: Teachers with Professional Qualification : Male 
PMTCH,Professionally Qualified Teachers: Private: Total  Teachers: Male 
PFTCH,Professionally Qualified Teachers: Private: Total  Teachers: Female 
PGRMTCH,Professionally Qualified Teachers: Government: Regular Teachers with Professional Qualification : Male 
PGRFTCH,Professionally Qualified Teachers: Government: Regular Teachers with Professional Qualification : Female 
GRMTCH,Professionally Qualified Teachers: Government: Total Regular Teachers: Male 
GRFTCH,Professionally Qualified Teachers: Government: Total Regular Teachers: Female 
PGCMTCH,Professionally Qualified Teachers: Government: Contractual Teachers with Professional Qualification : Male 
PGCFTCH,Professionally Qualified Teachers: Government: Contractual  Teachers with Professional Qualification : Female 
PCMTCH,Professionally Qualified Teachers: Government: Total Contractual  Teachers: Male 
PCFTCH,Professionally Qualified Teachers: Government: Total Contractual  Teachers: Female 
TCHSCM1,SC Teachers by School Category - Male: Primary Only
TCHSCM2,SC Teachers by School Category - Male: Primary with Upper Primary
TCHSCM3,SC Teachers by School Category - Male: Primary with upper Primary Sec/H.Sec
TCHSCM4,SC Teachers by School Category - Male: Upper Primary Only
TCHSCM5,SC Teachers by School Category - Male: Upper Primary with Sec./H.Sec
TCHSCM6,SC Teachers by School Category - Male: Primary with upper Primary Sec
TCHSCM7,SC Teachers by School Category - Male: Upper Primary with  Sec.
TCHSCF1,SC Teachers by School Category - Female: Primary Only
TCHSCF2,SC Teachers by School Category - Female: Primary with Upper Primary
TCHSCF3,SC Teachers by School Category - Female: Primary with upper Primary Sec/H.Sec
TCHSCF4,SC Teachers by School Category - Female: Upper Primary Only
TCHSCF5,SC Teachers by School Category - Female: Upper Primary with Sec./H.Sec
TCHSCF6,SC Teachers by School Category - Female: Primary with upper Primary Sec
TCHSCF7,SC Teachers by School Category - Female: Upper Primary with  Sec.
TCHSTM1,ST Teachers by School Category - Male: Primary Only
TCHSTM2,ST Teachers by School Category - Male: Primary with Upper Primary
TCHSTM3,ST Teachers by School Category - Male: Primary with upper Primary Sec/H.Sec
TCHSTM4,ST Teachers by School Category - Male: Upper Primary Only
TCHSTM5,ST Teachers by School Category - Male: Upper Primary with Sec./H.Sec
TCHSTM6,ST Teachers by School Category - Male: Primary with upper Primary Sec
TCHSTM7,ST Teachers by School Category - Male: Upper Primary with  Sec.
TCHSTF1,ST Teachers by School Category - Female: Primary Only
TCHSTF2,ST Teachers by School Category - Female: Primary with Upper Primary
TCHSTF3,ST Teachers by School Category - Female: Primary with upper Primary Sec/H.Sec
TCHSTF4,ST Teachers by School Category - Female: Upper Primary Only
TCHSTF5,ST Teachers by School Category - Female: Upper Primary with Sec./H.Sec
TCHSTF6,ST Teachers by School Category - Female: Primary with upper Primary Sec
TCHSTF7,ST Teachers by School Category - Female: Upper Primary with  Sec.
TCHOBCM1,OBC Teachers by School Category - Male: Primary Only
TCHOBCM2,OBC Teachers by School Category - Male: Primary with Upper Primary
TCHOBCM3,OBC Teachers by School Category - Male: Primary with upper Primary Sec/H.Sec
TCHOBCM4,OBC Teachers by School Category - Male: Upper Primary Only
TCHOBCM5,OBC Teachers by School Category - Male: Upper Primary with Sec./H.Sec
TCHOBCM6,OBC Teachers by School Category - Male: Primary with upper Primary Sec
TCHOBCM7,OBC Teachers by School Category - Male: Upper Primary with  Sec.
TCHOBCF1,OBC Teachers by School Category - Female: Primary Only
TCHOBCF2,OBC Teachers by School Category - Female: Primary with Upper Primary
TCHOBCF3,OBC Teachers by School Category - Female: Primary with upper Primary Sec/H.Sec
TCHOBCF4,OBC Teachers by School Category - Female: Upper Primary Only
TCHOBCF5,OBC Teachers by School Category - Female: Upper Primary with Sec./H.Sec
TCHOBCF6,OBC Teachers by School Category - Female: Primary with upper Primary Sec
TCHOBCF7,OBC Teachers by School Category - Female: Upper Primary with  Sec.
TCH_TRNRM1,Teachers Received in-service Training - Male: Primary Only
TCH_TRNRM2,Teachers Received in-service Training - Male: Primary with Upper Primary
TCH_TRNRM3,Teachers Received in-service Training - Male: Primary with upper Primary Sec/H.Sec
TCH_TRNRM4,Teachers Received in-service Training - Male: Upper Primary Only
TCH_TRNRM5,Teachers Received in-service Training - Male: Upper Primary with Sec./H.Sec
